"","owner","name","number","cursor","repoUrl","clients","prUrl","title","state","draft","files","javaFiles","baseRepo","baseRef","baseRefPrefix","headRepo","headRef","headRefPrefix","createdAt","publishedAt","mergedAt","closedAt","base","breakingChanges","brokenClients","brokenUses","changedFiles","checkedClients","errors","head","impactedPackages","seconds"
"1","alibaba","nacos",9042,"Y3Vyc29yOjM2","https://github.com/alibaba/nacos",6466,"https://github.com/alibaba/nacos/pull/9042","[ISSUE #8458] Support capability negotiation","OPEN","false",49,47,"alibaba/nacos","asoc2022_issue#8458","refs/heads/","Daydreamer-ia/nacos","asoc2022_issue#8458","refs/heads/","2022-08-28","2022-08-28",NA,NA,"asoc2022_issue#8458",19,1,23,49,142,"","asoc2022_issue#8458",4,615
"2","alibaba","nacos",9572,"Y3Vyc29yOjM2","https://github.com/alibaba/nacos",6466,"https://github.com/alibaba/nacos/pull/9572","[ISSUE #9571] Split the PersistService class because it's too big","OPEN","false",21,21,"alibaba/nacos","develop","refs/heads/","li-xiao-shuang/nacos","feature_persist_service","refs/heads/","2022-11-13","2022-11-13",NA,NA,"develop",3,4,1154,21,12,"","feature_persist_service",1,77
"3","alibaba","Sentinel",1508,"Y3Vyc29yOjU0","https://github.com/alibaba/Sentinel",20971,"https://github.com/alibaba/Sentinel/pull/1508","fix [ #1428] Support ZuulBlockFallbackProvider to return information custom","OPEN","false",13,10,"alibaba/Sentinel","master","refs/heads/","liuweiGit/Sentinel","1.7.3","refs/heads/","2020-05-27","2020-05-27",NA,NA,"master",12,5,22,13,8,"nullCouldn't find the JAR built from Commit[repository=Repository[owner=alibaba, name=Sentinel, remoteUrl=https://github.com/alibaba/Sentinel.git, branch=master], sha=ba391097ca908b6ffd733e85a24dfa9c2e677ba7]","1.7.3",3,47
"4","alibaba","Sentinel",2861,"Y3Vyc29yOjU0","https://github.com/alibaba/Sentinel",20971,"https://github.com/alibaba/Sentinel/pull/2861","Fix concurrent error in sentinel cluster client","OPEN","false",4,4,"alibaba/Sentinel","master","refs/heads/","XHao/Sentinel","bugfix/promise-handler","refs/heads/","2022-09-01","2022-09-01",NA,NA,"master",3,2,8,4,18,"","bugfix/promise-handler",1,40
"5","alibaba","Sentinel",2891,"Y3Vyc29yOjU0","https://github.com/alibaba/Sentinel",20971,"https://github.com/alibaba/Sentinel/pull/2891","Fix the sysrule","OPEN","false",1,1,"alibaba/Sentinel","master","refs/heads/","huangyiminghappy/Sentinel","fix_the_sysrule","refs/heads/","2022-09-26","2022-09-26",NA,NA,"master",5,3,15,1,100,"","fix_the_sysrule",1,142
"6","alibaba","Sentinel",2919,"Y3Vyc29yOjU0","https://github.com/alibaba/Sentinel",20971,"https://github.com/alibaba/Sentinel/pull/2919","add localCount for fallback when clusterMode failed","OPEN","false",11,9,"alibaba/Sentinel","master","refs/heads/","naget/Sentinel","feature_fallback_localCount","refs/heads/","2022-10-22","2022-10-22",NA,NA,"master",2,3,18,11,100,"nullCouldn't find the JAR built from Commit[repository=Repository[owner=alibaba, name=Sentinel, remoteUrl=https://github.com/alibaba/Sentinel.git, branch=master], sha=e13d20ce558b5ead1c00d719863c7fc51d3d2b87]","feature_fallback_localCount",2,182
"7","alibaba","spring-cloud-alibaba",1946,"Y3Vyc29yOjQx","https://github.com/alibaba/spring-cloud-alibaba",81551,"https://github.com/alibaba/spring-cloud-alibaba/pull/1946","optimize: alibaba-seata: Transfer XID using `feign.RequestInterceptor`","OPEN","false",11,11,"alibaba/spring-cloud-alibaba","2.2.x","refs/heads/","wangliang181230/spring-cloud-alibaba","optimize-seata-transmit-xid","refs/heads/","2021-01-26","2021-01-26",NA,NA,"2.2.x",27,0,0,11,100,"","optimize-seata-transmit-xid",1,217
"8","alibaba","spring-cloud-alibaba",2875,"Y3Vyc29yOjQx","https://github.com/alibaba/spring-cloud-alibaba",81551,"https://github.com/alibaba/spring-cloud-alibaba/pull/2875","#2862 improve seata beanPostProcessor order","OPEN","false",1,1,"alibaba/spring-cloud-alibaba","2021.x","refs/heads/","zhuangzhuangdashen/spring-cloud-alibaba","master","refs/heads/","2022-10-31","2022-10-31",NA,NA,"2021.x",1,0,0,1,100,"","master",1,257
"9","antlr","antlr4",3957,"Y3Vyc29yOjkz","https://github.com/antlr/antlr4",56600,"https://github.com/antlr/antlr4/pull/3957","Compare atn sim output across targets","OPEN","true",41,17,"antlr/antlr4","dev","refs/heads/","parrt/antlr4","compare-ATN-sim-output","refs/heads/","2022-11-11","2022-11-11",NA,NA,"dev",1,0,0,43,100,"null[package] failed (1): Output file /home/dig/maracas/experiments/work/antlr/antlr4/9d830ab6ea1c7ef78b9c427bed2eec3f99b62054/LfeCTPYwHKvd/tool/target/generated-sources/antlr3/org/antlr/v4/parse/ANTLRLexer.java does not exist: must build /home/dig/maracas/experiments/work/antlr/antlr4/9d830ab6ea1c7ef78b9c427bed2eec3f99b62054/LfeCTPYwHKvd/tool/src/org/antlr/v4/parse/ANTLRLexer.gorg/antlr/v4/parse/ANTLRLexer.gOutput file /home/dig/maracas/experiments/work/antlr/antlr4/9d830ab6ea1c7ef78b9c427bed2eec3f99b62054/LfeCTPYwHKvd/tool/target/generated-sources/antlr3/org/antlr/v4/parse/ANTLRParser.java does not exist: must build /home/dig/maracas/experiments/work/antlr/antlr4/9d830ab6ea1c7ef78b9c427bed2eec3f99b62054/LfeCTPYwHKvd/tool/src/org/antlr/v4/parse/ANTLRParser.gorg/antlr/v4/parse/ANTLRParser.gOutput file /home/dig/maracas/experiments/work/antlr/antlr4/9d830ab6ea1c7ef78b9c427bed2eec3f99b62054/LfeCTPYwHKvd/tool/target/generated-sources/antlr3/org/antlr/v4/codegen/SourceGenTriggers.java does not exist: must build /home/dig/maracas/experiments/work/antlr/antlr4/9d830ab6ea1c7ef78b9c427bed2eec3f99b62054/LfeCTPYwHKvd/tool/src/org/antlr/v4/codegen/SourceGenTriggers.gorg/antlr/v4/codegen/SourceGenTriggers.gOutput file /home/dig/maracas/experiments/work/antlr/antlr4/9d830ab6ea1c7ef78b9c427bed2eec3f99b62054/LfeCTPYwHKvd/tool/target/generated-sources/antlr3/org/antlr/v4/parse/GrammarTreeVisitor.java does not exist: must build /home/dig/maracas/experiments/work/antlr/antlr4/9d830ab6ea1c7ef78b9c427bed2eec3f99b62054/LfeCTPYwHKvd/tool/src/org/antlr/v4/parse/GrammarTreeVisitor.gorg/antlr/v4/parse/GrammarTreeVisitor.gOutput file /home/dig/maracas/experiments/work/antlr/antlr4/9d830ab6ea1c7ef78b9c427bed2eec3f99b62054/LfeCTPYwHKvd/tool/target/generated-sources/antlr3/org/antlr/v4/parse/ActionSplitter.java does not exist: must build /home/dig/maracas/experiments/work/antlr/antlr4/9d830ab6ea1c7ef78b9c427bed2eec3f99b62054/LfeCTPYwHKvd/tool/src/org/antlr/v4/parse/ActionSplitter.gorg/antlr/v4/parse/ActionSplitter.gOutput file /home/dig/maracas/experiments/work/antlr/antlr4/9d830ab6ea1c7ef78b9c427bed2eec3f99b62054/LfeCTPYwHKvd/tool/target/generated-sources/antlr3/org/antlr/v4/parse/BlockSetTransformer.java does not exist: must build /home/dig/maracas/experiments/work/antlr/antlr4/9d830ab6ea1c7ef78b9c427bed2eec3f99b62054/LfeCTPYwHKvd/tool/src/org/antlr/v4/parse/BlockSetTransformer.gorg/antlr/v4/parse/BlockSetTransformer.gOutput file /home/dig/maracas/experiments/work/antlr/antlr4/9d830ab6ea1c7ef78b9c427bed2eec3f99b62054/LfeCTPYwHKvd/tool/target/generated-sources/antlr3/org/antlr/v4/parse/LeftRecursiveRuleWalker.java does not exist: must build /home/dig/maracas/experiments/work/antlr/antlr4/9d830ab6ea1c7ef78b9c427bed2eec3f99b62054/LfeCTPYwHKvd/tool/src/org/antlr/v4/parse/LeftRecursiveRuleWalker.gorg/antlr/v4/parse/LeftRecursiveRuleWalker.gOutput file /home/dig/maracas/experiments/work/antlr/antlr4/9d830ab6ea1c7ef78b9c427bed2eec3f99b62054/LfeCTPYwHKvd/tool/target/generated-sources/antlr3/org/antlr/v4/parse/ATNBuilder.java does not exist: must build /home/dig/maracas/experiments/work/antlr/antlr4/9d830ab6ea1c7ef78b9c427bed2eec3f99b62054/LfeCTPYwHKvd/tool/src/org/antlr/v4/parse/ATNBuilder.gorg/antlr/v4/parse/ATNBuilder.gGrammar /home/dig/maracas/experiments/work/antlr/antlr4/9d830ab6ea1c7ef78b9c427bed2eec3f99b62054/LfeCTPYwHKvd/tool/src/org/antlr/v4/parse/ANTLRLexer.g is up to date - build skippedGrammar /home/dig/maracas/experiments/work/antlr/antlr4/9d830ab6ea1c7ef78b9c427bed2eec3f99b62054/LfeCTPYwHKvd/tool/src/org/antlr/v4/parse/ANTLRParser.g is up to date - build skippedGrammar /home/dig/maracas/experiments/work/antlr/antlr4/9d830ab6ea1c7ef78b9c427bed2eec3f99b62054/LfeCTPYwHKvd/tool/src/org/antlr/v4/codegen/SourceGenTriggers.g is up to date - build skippedGrammar /home/dig/maracas/experiments/work/antlr/antlr4/9d830ab6ea1c7ef78b9c427bed2eec3f99b62054/LfeCTPYwHKvd/tool/src/org/antlr/v4/parse/GrammarTreeVisitor.g is up to date - build skippedGrammar /home/dig/maracas/experiments/work/antlr/antlr4/9d830ab6ea1c7ef78b9c427bed2eec3f99b62054/LfeCTPYwHKvd/tool/src/org/antlr/v4/parse/ActionSplitter.g is up to date - build skippedGrammar /home/dig/maracas/experiments/work/antlr/antlr4/9d830ab6ea1c7ef78b9c427bed2eec3f99b62054/LfeCTPYwHKvd/tool/src/org/antlr/v4/parse/BlockSetTransformer.g is up to date - build skippedGrammar /home/dig/maracas/experiments/work/antlr/antlr4/9d830ab6ea1c7ef78b9c427bed2eec3f99b62054/LfeCTPYwHKvd/tool/src/org/antlr/v4/parse/LeftRecursiveRuleWalker.g is up to date - build skippedGrammar /home/dig/maracas/experiments/work/antlr/antlr4/9d830ab6ea1c7ef78b9c427bed2eec3f99b62054/LfeCTPYwHKvd/tool/src/org/antlr/v4/parse/ATNBuilder.g is up to date - build skipped[ERROR] Failed to execute goal on project antlr4-tool-testsuite: Could not resolve dependencies for project org.antlr:antlr4-tool-testsuite:jar:4.11.2-SNAPSHOT: Could not find artifact org.antlr:antlr4-runtime-testsuite:jar:tests:4.11.2-SNAPSHOT in sonatype-nexus-snapshots (https://oss.sonatype.org/content/repositories/snapshots) -> [Help 1][ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch.[ERROR] Re-run Maven using the -X switch to enable full debug logging.[ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles:[ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/DependencyResolutionException[ERROR] [ERROR] After correcting the problems, you can resume the build with the command[ERROR]   mvn <args> -rf :antlr4-tool-testsuite","compare-ATN-sim-output",3,1003
"10","apache","avro",1588,"Y3Vyc29yOjYwMg==","https://github.com/apache/avro",31141,"https://github.com/apache/avro/pull/1588","AVRO-3403: Create and use ANTLR to parse IDL files","OPEN","false",100,24,"apache/avro","master","refs/heads/","opwvhk/avro","AVRO-3403-migrate-JavaCC-to-ANTLR","refs/heads/","2022-03-08","2022-03-08",NA,NA,"master",1,3,30,102,59,"null[package] failed (1): [ERROR] Failed to execute goal org.apache.rat:apache-rat-plugin:0.14:check (default) on project avro-toplevel: Too many files with unapproved license: 1 See RAT report in: /data/maracas/experiments/work/apache/avro/efb977928a2e1eb4afed538a0676ca046987f15d/UVAKMXMoMLtH/target/rat.txt -> [Help 1][ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch.[ERROR] Re-run Maven using the -X switch to enable full debug logging.[ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles:[ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException[package] failed (1): [ERROR] Failed to execute goal org.apache.rat:apache-rat-plugin:0.14:check (default) on project avro-toplevel: Too many files with unapproved license: 1 See RAT report in: /data/maracas/experiments/work/apache/avro/efb977928a2e1eb4afed538a0676ca046987f15d/UVAKMXMoMLtH/target/rat.txt -> [Help 1][ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch.[ERROR] Re-run Maven using the -X switch to enable full debug logging.[ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles:[ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException","AVRO-3403-migrate-JavaCC-to-ANTLR",3,348
