"","owner","name","number"
"1","quarkusio","quarkus",28545
"2","quarkusio","quarkus",28523
"10002","quarkusio","quarkus",28505
"10006","quarkusio","quarkus",28487
"10011","quarkusio","quarkus",28383
"10012","quarkusio","quarkus",28359
"10016","quarkusio","quarkus",28327
"10052","quarkusio","quarkus",28319
"10053","quarkusio","quarkus",27994
"10054","quarkusio","quarkus",27966
"10058","quarkusio","quarkus",27956
"10062","quarkusio","quarkus",27774
"10063","quarkusio","quarkus",27560
"10072","quarkusio","quarkus",27526
"10076","quarkusio","quarkus",27494
"10077","quarkusio","quarkus",26760
"10861","quarkusio","quarkus",26706
"10865","google","gson",2221
"10866","google","gson",2212
"10867","google","gson",2189
"10931","google","gson",2152
"10947","google","gson",2151
"11027","google","gson",2145
"11028","javaparser","javaparser",3712
"11030","javaparser","javaparser",3684
"11031","shopizer-ecommerce","shopizer",807
"11032","shopizer-ecommerce","shopizer",801
"11033","javalin","javalin",1698
"11034","querydsl","querydsl",3398
"11035","querydsl","querydsl",3397
"11036","querydsl","querydsl",3389
"11037","querydsl","querydsl",3384
"11038","querydsl","querydsl",3380
"11040","querydsl","querydsl",3378
"11042","querydsl","querydsl",3377
"11043","querydsl","querydsl",3375
"11044","querydsl","querydsl",3367
"11045","querydsl","querydsl",3361
"11046","querydsl","querydsl",3358
"11047","querydsl","querydsl",3346
"11056","querydsl","querydsl",3340
"11057","querydsl","querydsl",3320
"11060","docker-java","docker-java",1979
"11061","docker-java","docker-java",1978
"11062","docker-java","docker-java",1977
"11063","docker-java","docker-java",1972
"11073","docker-java","docker-java",1970
"11074","docker-java","docker-java",1968
"11075","docker-java","docker-java",1963
"11081","docker-java","docker-java",1961
"11082","docker-java","docker-java",1958
"11083","docker-java","docker-java",1945
"11084","docker-java","docker-java",1937
"11085","docker-java","docker-java",1909
"11090","apache","pinot",9579
"11099","apache","pinot",9578
"11101","apache","pinot",9571
"11165","apache","pinot",9570
"11205","apache","pinot",9560
"11349","apache","pinot",9556
"11353","apache","pinot",9550
"11359","apache","pinot",9546
"11843","apache","pinot",9527
"11844","apache","pinot",9515
"11869","apache","pinot",9511
"11878","apache","pinot",9510
"11879","apache","pinot",9507
"12001","apache","pinot",9505
"12005","apache","pinot",9501
"12006","apache","pinot",9484
"12447","apache","pinot",9480
"12452","apache","pinot",9471
"12468","apache","pinot",9442
"12469","apache","pinot",9416
"12474","apache","pinot",9397
"13159","apache","pinot",9370
"13163","apache","pinot",9322
"13213","apache","pinot",9306
"13218","apache","pinot",9264
"13222","apache","pinot",9263
"13247","apache","pinot",9248
"13248","apache","pinot",9216
"13258","apache","pinot",9199
"13275","apache","pinot",9198
"13284","apache","pinot",9163
"13293","apache","pinot",9112
"13309","apache","pinot",9096
"13310","apache","pinot",9085
"13311","fabric8io","kubernetes-client",4490
"13461","fabric8io","kubernetes-client",4488
"13502","fabric8io","kubernetes-client",4485
"13503","fabric8io","kubernetes-client",4481
"13657","fabric8io","kubernetes-client",4464
"19975","fabric8io","kubernetes-client",4430
"20051","fabric8io","kubernetes-client",4429
"20111","dunwu","javacore",43
"20112","jacoco","jacoco",1375
"20113","jacoco","jacoco",1374
"20114","jacoco","jacoco",1367
"20115","jacoco","jacoco",1356
"20120","OpenFeign","feign",1795
"20121","OpenFeign","feign",1772
"20122","OpenFeign","feign",1760
"20267","OpenFeign","feign",1726
"20272","Azure","azure-sdk-for-java",31435
"20633","Azure","azure-sdk-for-java",31434
"20642","Azure","azure-sdk-for-java",31431
"20649","Azure","azure-sdk-for-java",31429
"20654","Azure","azure-sdk-for-java",31414
"20655","Azure","azure-sdk-for-java",31410
"20668","Azure","azure-sdk-for-java",31409
"20669","Azure","azure-sdk-for-java",31408
"20670","Azure","azure-sdk-for-java",31386
"21570","Azure","azure-sdk-for-java",31315
"21573","Azure","azure-sdk-for-java",31263
"21862","Azure","azure-sdk-for-java",31211
"21863","Azure","azure-sdk-for-java",31034
"21864","Azure","azure-sdk-for-java",31002
"22060","Azure","azure-sdk-for-java",30961
"22061","Azure","azure-sdk-for-java",30960
"22062","Azure","azure-sdk-for-java",30875
"23358","Azure","azure-sdk-for-java",30858
"33358","Azure","azure-sdk-for-java",30744
"33362","Azure","azure-sdk-for-java",30728
"33371","Azure","azure-sdk-for-java",30505
"33396","Azure","azure-sdk-for-java",30460
"33397","Azure","azure-sdk-for-java",30214
"33398","qos-ch","slf4j",304
"33414","qos-ch","slf4j",303
"33415","prometheus","client_java",805
"33416","googleapis","google-cloud-java",8582
"33418","googleapis","google-cloud-java",8567
"33420","googleapis","google-cloud-java",8483
"33422","googleapis","google-cloud-java",8449
"33424","googleapis","google-cloud-java",8444
"33426","googleapis","google-cloud-java",8251
"33428","jtablesaw","tablesaw",1153
"33429","jtablesaw","tablesaw",1149
"33430","jtablesaw","tablesaw",1148
"33431","jtablesaw","tablesaw",1146
"33435","jtablesaw","tablesaw",1145
"33444","jtablesaw","tablesaw",1139
"33445","helidon-io","helidon",5013
"33449","eclipse","paho.mqtt.java",957
"33453","eclipse","paho.mqtt.java",951
"33454","apache","dubbo",10741
"33455","apache","dubbo",10728
"33459","apache","dubbo",10726
"33700","apache","dubbo",10720
"33709","apache","dubbo",10698
"33710","apache","dubbo",10695
"34286","apache","dubbo",10691
"34367","apache","dubbo",10683
"34368","apache","dubbo",10672
"35097","apache","dubbo",10667
"35178","apache","dubbo",10658
"35236","apache","dubbo",10642
"35272","apache","dubbo",10587
"35393","apache","dubbo",10378
"35394","eclipse","eclipse.jdt.ls",2173
"35431","googleapis","google-api-java-client",2111
"35440","spullara","mustache.java",283
"35636","vipshop","vjtools",204
"35638","vipshop","vjtools",203
"35639","vipshop","vjtools",202
"35640","vipshop","vjtools",201
"35641","vipshop","vjtools",200
"35642","rest-assured","rest-assured",1634
"35643","rest-assured","rest-assured",1633
"35644","rest-assured","rest-assured",1630
"35645","rest-assured","rest-assured",1629
"35646","rest-assured","rest-assured",1628
"35647","rest-assured","rest-assured",1625
"35655","MorphiaOrg","morphia",2113
"35656","googleapis","google-http-java-client",1691
"35667","ta4j","ta4j",900
"35668","ta4j","ta4j",898
"35684","ta4j","ta4j",897
"35685","ta4j","ta4j",895
