owner,name,sshUrl,url,baseRepo,baseRef,baseRefPrefix,headRepo,headRef,headRefPrefix,title,number,state,draft,files,createdAt,publishedAt,mergedAt,closedAt,groupId,artifactId,version
javaparser,javaparser,ssh://git@github.com:javaparser/javaparser.git,https://github.com/javaparser/javaparser,javaparser/javaparser,master,refs/heads/,yufanyufan/javaparser,patch-1,refs/heads/,Prevent Exception type Erasion,3611,OPEN,False,1,2022-06-10,2022-06-10,,,com.github.javaparser,javaparser-symbol-solver-core,3.24.3-SNAPSHOT
javaparser,javaparser,ssh://git@github.com:javaparser/javaparser.git,https://github.com/javaparser/javaparser,javaparser/javaparser,master,refs/heads/,MysterAitch/javaparser,2446--solving_records,refs/heads/,Initial implementation for resolving records,3606,OPEN,True,18,2022-06-07,2022-06-07,,,com.github.javaparser,javaparser-symbol-solver-core,3.24.3-SNAPSHOT
javaparser,javaparser,ssh://git@github.com:javaparser/javaparser.git,https://github.com/javaparser/javaparser,javaparser/javaparser,master,refs/heads/,MysterAitch/javaparser,2446--solving_records,refs/heads/,Initial implementation for resolving records,3606,OPEN,True,18,2022-06-07,2022-06-07,,,com.github.javaparser,javaparser-core,3.24.3-SNAPSHOT
google,google-java-format,ssh://git@github.com:google/google-java-format.git,https://github.com/google/google-java-format,google/google-java-format,master,refs/heads/,mernst/google-java-format,typequalifiers,refs/heads/,Expand hard-coded list of type qualifiers,802,OPEN,False,1,2022-07-15,2022-07-15,,,com.google.googlejavaformat,google-java-format,HEAD-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,walterddr/pinot,pr_return_grpc_exceptions,refs/heads/,[multistage] adding error block bubble up for GRPC exceptions,9143,OPEN,True,13,2022-08-01,2022-08-01,,,org.apache.pinot,pinot-broker,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,apache/pinot,cancel-request,refs/heads/,Initial commit to support cancelling a long running query (WIP),9141,OPEN,False,7,2022-08-01,2022-08-01,,,org.apache.pinot,pinot-broker,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,mneedham/pinot,timestamp-index-investigation,refs/heads/,Add timestamp index fields to schema for the real-time ingestion path,9134,OPEN,False,5,2022-07-29,2022-07-29,,,org.apache.pinot,pinot-broker,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,vvivekiyer/pinot,regexp_replace,refs/heads/,Add support for regexpReplace scalar function,9123,OPEN,False,3,2022-07-28,2022-07-28,,,org.apache.pinot,pinot-broker,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,ravishankar15/pinot,consume-metadata,refs/heads/,Add additional metadata to the response,9122,OPEN,False,10,2022-07-28,2022-07-28,,,org.apache.pinot,pinot-broker,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,SabrinaZhaozyf/incubator-pinot,yifzhao/base64,refs/heads/,Add support for Base64 Encode/Decode Scalar Functions,9114,OPEN,False,5,2022-07-27,2022-07-27,,,org.apache.pinot,pinot-broker,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,gyokketto/pinot,update-dependencies,refs/heads/,update-dependencies,8991,OPEN,True,100,2022-06-29,2022-06-29,,,org.apache.pinot,pinot-broker,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,abhs50/pinot,8869,refs/heads/,Log Request header for Broker,8907,OPEN,False,2,2022-06-16,2022-06-16,,,org.apache.pinot,pinot-broker,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,dongxiaoman/incubator-pinot,xd-openapi-v3,refs/heads/,Refactoring Controller Endpoint to be Interfaces,8885,OPEN,True,58,2022-06-13,2022-06-13,,,org.apache.pinot,pinot-broker,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,dongxiaoman/incubator-pinot,xd-openapi-v2,refs/heads/,Extract Pinot Broker Endpoints with interfaces,8876,OPEN,True,10,2022-06-09,2022-06-09,,,org.apache.pinot,pinot-broker,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,xiangfu0/pinot,broker-routing-to-other-tenants,refs/heads/,Adding support for broker routing queries to other tenants,8813,OPEN,False,10,2022-06-01,2022-06-01,,,org.apache.pinot,pinot-broker,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,vvivekiyer/pinot,resiliency_serverSelection,refs/heads/,[WIP; DO NOT REVIEW] Adaptive Server Selection,8808,OPEN,True,27,2022-05-31,2022-05-31,,,org.apache.pinot,pinot-broker,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,apache/pinot,cancel-request,refs/heads/,Initial commit to support cancelling a long running query (WIP),9141,OPEN,False,7,2022-08-01,2022-08-01,,,org.apache.pinot,pinot-core,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,mneedham/pinot,timestamp-index-investigation,refs/heads/,Add timestamp index fields to schema for the real-time ingestion path,9134,OPEN,False,5,2022-07-29,2022-07-29,,,org.apache.pinot,pinot-core,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,jugomezv/pinot,jugomez/ArrayConcatFloatDoubleLong,refs/heads/,"Add support for arrayConcatLong, arrayConcatFloat, arrayConcatDouble",9131,OPEN,False,2,2022-07-29,2022-07-29,,,org.apache.pinot,pinot-core,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,ravishankar15/pinot,consume-metadata,refs/heads/,Add additional metadata to the response,9122,OPEN,False,10,2022-07-28,2022-07-28,,,org.apache.pinot,pinot-core,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,SabrinaZhaozyf/incubator-pinot,yifzhao/base64,refs/heads/,Add support for Base64 Encode/Decode Scalar Functions,9114,OPEN,False,5,2022-07-27,2022-07-27,,,org.apache.pinot,pinot-core,0.11.0-SNAPSHOT
