BASE,BREAKINGCHANGES,BROKENCLIENTS,BROKENUSES,CHANGEDFILES,CHECKEDCLIENTS,HEAD,IMPACTEDPACKAGES,NAME,NUMBER,OWNER,SECONDS
main,0,0,0,18,0,lambda-roles,6,quarkus,28545,quarkusio,187
main,0,0,0,158,0,feature/doc-summaries,0,quarkus,28523,quarkusio,9
main,0,0,0,4,0,silent_jwt_auth_mechanism,1,quarkus,28505,quarkusio,47
main,0,0,0,128,0,otel-autoconfigure-2,2,quarkus,28487,quarkusio,64
main,0,0,0,8,0,csrf_multipart_media_type,2,quarkus,28383,quarkusio,96
main,0,0,0,20,0,record-inside-panache,5,quarkus,28359,quarkusio,170
main,0,0,0,11,0,keycloak_devservices_multiple_realms,2,quarkus,28327,quarkusio,79
main,0,0,0,1,0,kafka-guide-hibernate,0,quarkus,28319,quarkusio,7
main,0,0,0,90,0,panache_events,2,quarkus,27994,quarkusio,89
main,0,0,0,34,0,optimisticLockControl,1,quarkus,27966,quarkusio,65
main,0,0,0,21,0,skip_verify_host,6,quarkus,27956,quarkusio,178
main,0,0,0,1,0,patch-1,0,quarkus,27774,quarkusio,8
main,0,0,0,5,0,kafka-related-docker-images,2,quarkus,27560,quarkusio,93
main,10,0,0,63,0,rr-multipart-beanparam,13,quarkus,27526,quarkusio,250
main,0,0,0,14,0,kubernetes_config_expand,2,quarkus,27494,quarkusio,78
main,0,0,0,118,0,otel-autoconfig,7,quarkus,26760,quarkusio,222
main,0,0,0,6,0,issue_25417,2,quarkus,26706,quarkusio,74
master,0,0,0,1,0,master,1,gson,2221,google,8
master,0,0,0,5,0,marcono1234/automatically-replace-version-on-release,1,gson,2212,google,8
master,0,0,0,9,0,marcono1234/anonymous-local-exception,1,gson,2189,google,8
master,0,0,0,4,0,marcono1234/LinkedTreeMap-non-Comparable-keys,1,gson,2152,google,7
master,0,0,0,12,0,marcono1234/JsonTreeReader-JsonTreeWriter-settings-propagation,2,gson,2151,google,11
master,0,0,0,1,0,master,1,gson,2145,google,8
master,0,0,0,2,0,comment_whitespace_removal,1,javaparser,3712,javaparser,25
master,0,0,0,1,0,fix/JLL/zip-slip-vulnerability,1,javaparser,3684,javaparser,28
master,0,0,0,2,0,snyk-fix-509f417be4133fe03228a650c906e8f7,0,shopizer,807,shopizer-ecommerce,5
master,0,0,0,2,0,snyk-fix-50568ae1c59429804a1f58f08fa5f549,0,shopizer,801,shopizer-ecommerce,5
master,0,0,0,5,0,micrometer-plugin,0,javalin,1698,javalin,2
master,0,0,0,2,0,dependabot/maven/slf4j.version-2.0.3,0,querydsl,3398,querydsl,3
master,0,0,0,2,0,dependabot/maven/hibernate.version-5.6.12.Final,0,querydsl,3397,querydsl,3
master,0,0,0,1,0,dependabot/maven/org.springframework.boot-spring-boot-starter-parent-2.7.4,0,querydsl,3389,querydsl,3
master,0,0,0,2,0,dependabot/maven/org.apache.maven.plugins-maven-jar-plugin-3.3.0,0,querydsl,3384,querydsl,3
master,0,0,0,2,0,dependabot/maven/org.springframework-spring-jdbc-5.3.23,0,querydsl,3380,querydsl,3
master,0,0,0,2,0,dependabot/maven/spring.version-5.3.23,0,querydsl,3378,querydsl,3
master,0,0,0,1,0,dependabot/maven/org.eclipse.jdt-ecj-3.31.0,0,querydsl,3377,querydsl,3
master,0,0,0,2,0,dependabot/maven/org.hibernate.validator-hibernate-validator-8.0.0.Final,0,querydsl,3375,querydsl,3
master,0,0,0,1,0,EntityType-source-ordered-properties,1,querydsl,3367,querydsl,5
master,0,0,0,1,0,dependabot/maven/org.hibernate.common-hibernate-commons-annotations-6.0.4.Final,0,querydsl,3361,querydsl,4
master,0,0,0,1,0,dependabot/maven/dn.version-6.0.1,0,querydsl,3358,querydsl,3
master,0,0,0,3,0,master,0,querydsl,3346,querydsl,4
master,0,0,0,1,0,dependabot/maven/org.joda-joda-money-1.0.2,0,querydsl,3340,querydsl,3
master,0,0,0,5,0,feature/update-dependencies,0,querydsl,3320,querydsl,3
master,0,0,0,1,0,dependabot/maven/com.tngtech.archunit-archunit-junit5-1.0.0,0,docker-java,1979,docker-java,2
master,0,0,0,1,0,dependabot/maven/com.tngtech.archunit-archunit-1.0.0,0,docker-java,1978,docker-java,2
master,0,0,0,1,0,dependabot/maven/org.testcontainers-testcontainers-1.17.5,0,docker-java,1977,docker-java,2
master,0,0,0,11,0,bnd,0,docker-java,1972,docker-java,2
master,0,0,0,1,0,dependabot/maven/org.slf4j-slf4j-jdk14-2.0.3,0,docker-java,1970,docker-java,2
master,0,0,0,2,0,dependabot/maven/slf4j-api.version-2.0.3,0,docker-java,1968,docker-java,2
master,2,0,0,4,28,issue-1258,3,docker-java,1963,docker-java,223
master,0,0,0,1,0,dependabot/maven/org.junit.jupiter-junit-jupiter-5.9.1,0,docker-java,1961,docker-java,2
master,0,0,0,2,0,junixsocket_2.5.1,1,docker-java,1958,docker-java,17
master,0,0,0,1,0,dependabot/maven/org.immutables-value-2.9.2,0,docker-java,1945,docker-java,2
master,0,0,0,2,0,dependabot/maven/jackson.version-2.13.4,0,docker-java,1937,docker-java,2
master,0,0,0,3,0,rwmajor2/mcr_mem_stats,2,docker-java,1909,docker-java,19
master,0,0,0,4,0,fix_delete_segment_api,2,pinot,9579,apache,104
master,0,0,0,12,0,pinot_version,5,pinot,9578,apache,190
master,0,0,0,9,0,pr_add_v2_timeout,2,pinot,9571,apache,100
master,0,0,0,8,0,distinct_fix,2,pinot,9570,apache,103
master,0,0,0,29,0,stage_refactor,2,pinot,9560,apache,104
master,0,0,0,2,0,bugFix-issue-9555,1,pinot,9556,apache,33
master,0,0,0,5,0,segmentNameGeneration,4,pinot,9550,apache,147
master,1,0,0,44,2,with_tz,6,pinot,9546,apache,178
master,0,0,0,4,0,dict_size_patch,3,pinot,9527,apache,73
master,2,0,0,15,3,consumer-lag,6,pinot,9515,apache,197
master,0,0,0,11,0,decoder_error_patch,4,pinot,9511,apache,143
master,0,0,0,6,0,fwdIndexHandlerMV,2,pinot,9510,apache,70
master,0,0,0,16,0,limit_pushdown,3,pinot,9507,apache,139
master,0,0,0,8,0,segment_retention_time_patch,4,pinot,9505,apache,139
master,0,0,0,7,0,IpAddress,2,pinot,9501,apache,66
master,0,0,0,22,0,join-opt-2,2,pinot,9484,apache,100
master,0,0,0,8,0,ts_with_tz,4,pinot,9480,apache,143
master,0,0,0,8,0,master,2,pinot,9471,apache,105
master,0,0,0,2,0,add_table_cache_for_server,2,pinot,9442,apache,99
master,0,0,0,23,0,compatible-dropwizard-metrics,2,pinot,9416,apache,40
master,4,0,0,40,1,function_registry,5,pinot,9397,apache,215
master,0,0,0,3,0,and_evaluation_enhancement_2,1,pinot,9370,apache,57
master,4,0,0,16,1,boolean_literals,5,pinot,9322,apache,201
master,1,0,0,17,1,multi_datadirs_segment_loader,6,pinot,9306,apache,177
master,0,0,0,5,0,xd-tls-config-reference,1,pinot,9264,apache,63
master,0,0,0,8,0,tm/parse_tableName_from_query,2,pinot,9263,apache,106
master,0,0,0,3,0,dependabot/maven/org.apache.maven.plugins-maven-enforcer-plugin-3.1.0,0,pinot,9248,apache,9
master,0,0,0,15,0,tm/tmp,4,pinot,9216,apache,114
master,0,0,0,5,0,dtmn-seg,2,pinot,9199,apache,96
master,0,0,0,3,0,jadami/render-tables-on-load,1,pinot,9198,apache,58
master,0,0,0,5,0,issue_9045,2,pinot,9163,apache,61
master,0,0,0,4,0,read-parquet-bin-as-text,1,pinot,9112,apache,25
master,2,0,0,11,2,message-header,6,pinot,9096,apache,177
master,0,0,0,1,0,dependabot/npm_and_yarn/pinot-controller/src/main/resources/terser-4.8.1,0,pinot,9085,apache,10
master,11,0,0,33,2,4471,7,kubernetes-client,4490,fabric8io,749
master,0,0,0,1,0,fix/JLL/zip-slip-vulnerability,1,javacore,43,dunwu,7
master,0,0,0,1,0,oscs_fix_cd36l00au51of7vbl1fg,0,jacoco,1375,jacoco,2
master,0,0,0,1,0,oscs_fix_cd36kroau51of7vbl1eg,0,jacoco,1374,jacoco,3
master,0,0,0,1,0,dependabot/maven/org.jacoco.core.test.validation.scala/org.scala-lang-scala-library-2.13.9,0,jacoco,1367,jacoco,2
master,0,0,0,4,0,issue-1112,2,jacoco,1356,jacoco,27
master,0,0,0,1,0,fix-test-code,1,feign,1795,OpenFeign,5
master,0,0,0,2,0,patch-1,1,feign,1772,OpenFeign,6
master,0,0,0,17,0,micrometerObservations,2,feign,1760,OpenFeign,7
master,0,0,0,3,0,feature-fix-and-improve-default-retryer,2,feign,1726,OpenFeign,7
main,26,0,0,24,0,feature/swaggerUpdate,1,azure-sdk-for-java,31435,Azure,114
main,0,0,0,5,0,fix-fr-pipeline,1,azure-sdk-for-java,31434,Azure,110
main,0,0,0,15,0,increment-package-version-appconfiguration-1913922,0,azure-sdk-for-java,31431,Azure,52
main,0,0,0,6,0,release/azure-data-tables/12.3.5,0,azure-sdk-for-java,31429,Azure,52
main,0,0,0,8,0,oscs_fix_cd375agau51of7vbl250,0,azure-sdk-for-java,31414,Azure,49
feature/spring-boot-3,0,0,0,212,0,moary/update-spring-cloud-azure-sb3m5-sc2022m5,1,azure-sdk-for-java,31410,Azure,121
main,0,0,0,7,0,webpubsub_prepare-patch-release,0,azure-sdk-for-java,31409,Azure,51
main,0,0,0,4,0,increment-package-version-digitaltwins-1910043,0,azure-sdk-for-java,31408,Azure,52
feature/ta-2022-10-01-preview,2,0,0,31,2,TA-healthcare,1,azure-sdk-for-java,31386,Azure,121
main,0,0,0,4,0,perf-tools-repo-commitish,0,azure-sdk-for-java,31315,Azure,51
feature/storage/stg85base,0,0,0,18,0,stg85base/appendLease,2,azure-sdk-for-java,31263,Azure,128
main,0,0,0,1,0,ostoliarova/communication-identity/add_kind_property,0,azure-sdk-for-java,31211,Azure,44
main,32,17,2499,51,56,prep-identity-patch-release-sep-2022-oob,1,azure-sdk-for-java,31034,Azure,276
feature/storage/stg85base,0,0,0,14,0,stg85base/filesInvalidXML,1,azure-sdk-for-java,31002,Azure,117
main,76,16,2281,180,30,feature/sync-stack,15,azure-sdk-for-java,30961,Azure,502
main,0,0,0,1,0,update-storage-perf,0,azure-sdk-for-java,30960,Azure,55
main,0,0,0,36,0,anomaly-detector-sync,1,azure-sdk-for-java,30875,Azure,106
